월(Monthly),시도명,시군구,승용_관용,승용_자가용,승용_영업용,승용_합계,승합_관용,승합_자가용,승합_업무용,승합_합계,화물_관용,화물_자가용,화물_영업용,화물_합계,특수_관용,특수_자가용,특수영업용,특수_합계,총계_관용,총계_자가용,총계_영업용,총계_합계
21-Apr,Seoul,계,"4,454","2,589,024","123,707","2,717,185","3,688","85,183","15,230","104,101","3,911","266,514","58,164","328,589",368,"3,842","4,990","9,200","12,421","2,944,563","202,091","3,159,075"
21-Apr,Busan,계,"1,635","1,112,514","87,229","1,201,378","1,260","33,924","6,023","41,207","1,595","150,984","33,906","186,485",137,"2,106","8,923","11,166","4,627","1,299,528","136,081","1,440,236"
21-Apr,Daegu,계,968,"1,000,968","25,795","1,027,731",885,"25,238","3,946","30,069","1,352","137,527","19,309","158,188",120,"1,639","2,109","3,868","3,325","1,165,372","51,159","1,219,856"
21-Apr,Incheon,계,"1,508","1,130,334","292,799","1,424,641","1,056","36,147","10,601","47,804","1,321","160,921","31,769","194,011",116,"2,394","5,347","7,857","4,001","1,329,796","340,516","1,674,313"
21-Apr,Gwangju,계,810,"564,001","14,115","578,926",592,"16,694","2,364","19,650",707,"78,083","13,546","92,336",80,"1,190","1,829","3,099","2,189","659,968","31,854","694,011"
21-Apr,Daejeon,계,648,"565,318","14,147","580,113",537,"17,393","2,155","20,085",637,"74,445","11,658","86,740",75,"1,204","1,656","2,935","1,897","658,360","29,616","689,873"
21-Apr,Ulsan,계,698,"481,163","7,963","489,824",447,"11,978","1,916","14,341",643,"61,332","9,463","71,438",45,874,"2,177","3,096","1,833","555,347","21,519","578,699"
21-Apr,Sejong,계,321,"156,121",654,"157,096",183,"3,713",459,"4,355",241,"14,869","1,642","16,752",50,339,170,559,795,"175,042","2,925","178,762"
21-Apr,Gyeonggi,계,"7,285","4,954,640","70,246","5,032,171","4,211","165,249","32,032","201,492","5,578","691,654","118,673","815,905",557,"10,730","11,433","22,720","17,631","5,822,273","232,384","6,072,288"
21-Apr,Gangwon,계,"1,824","609,435","11,695","622,954","1,578","23,580","3,105","28,263","2,481","148,792","8,594","159,867",184,"1,891","1,763","3,838","6,067","783,698","25,157","814,922"
21-Apr,Chungbuk,계,"1,345","665,802","15,356","682,503","1,017","24,282","3,733","29,032","1,554","142,521","14,535","158,610",119,"1,931","2,777","4,827","4,035","834,536","36,401","874,972"
21-Apr,Chungnam,계,"1,924","873,756","13,406","889,086","1,229","34,266","5,347","40,842","2,358","203,837","18,037","224,232",272,"2,494","3,018","5,784","5,783","1,114,353","39,808","1,159,944"
21-Apr,Jeonbuk,계,"1,767","709,946","17,079","728,792","1,319","26,736","4,118","32,173","2,079","170,026","15,412","187,517",164,"2,007","2,246","4,417","5,329","908,715","38,855","952,899"
21-Apr,Jeonnam,계,"2,145","696,185","138,190","836,520","1,583","29,513","7,682","38,778","2,437","223,519","20,313","246,269",183,"2,726","4,926","7,835","6,348","951,943","171,111","1,129,402"
21-Apr,Gyeongbuk,계,"2,575","1,094,239","13,659","1,110,473","1,771","40,524","5,345","47,640","2,944","293,268","24,282","320,494",250,"3,195","5,093","8,538","7,540","1,431,226","48,379","1,487,145"
21-Apr,Gyeongnam,계,"2,452","1,366,044","83,346","1,451,842","1,900","43,445","7,369","52,714","2,595","264,642","25,146","292,383",200,"3,255","5,520","8,975","7,147","1,677,386","121,381","1,805,914"
21-Apr,Jeju,계,831,"296,352","231,037","528,220",482,"11,027","6,960","18,469","1,032","76,994","3,689","81,715",81,772,639,"1,492","2,426","385,145","242,325","629,896"
21-May,Seoul,계,"4,439","2,591,628","123,534","2,719,601","3,711","84,738","15,213","103,662","3,902","265,764","58,383","328,049",374,"3,946","4,997","9,317","12,426","2,946,076","202,127","3,160,629"
21-May,Busan,계,"1,636","1,115,297","88,777","1,205,710","1,280","33,759","6,001","41,040","1,596","150,570","33,985","186,151",138,"2,159","8,910","11,207","4,650","1,301,785","137,673","1,444,108"
21-May,Daegu,계,967,"999,399","25,885","1,026,251",903,"24,890","3,932","29,725","1,358","136,146","19,334","156,838",122,"1,687","2,130","3,939","3,350","1,162,122","51,281","1,216,753"
21-May,Incheon,계,"1,510","1,133,666","290,078","1,425,254","1,071","36,010","10,437","47,518","1,330","160,597","31,897","193,824",117,"2,445","5,350","7,912","4,028","1,332,718","337,762","1,674,508"
21-May,Gwangju,계,816,"564,082","14,337","579,235",605,"16,518","2,369","19,492",711,"77,554","13,584","91,849",81,"1,205","1,836","3,122","2,213","659,359","32,126","693,698"
21-May,Daejeon,계,647,"564,156","14,210","579,013",546,"17,000","2,152","19,698",637,"73,226","11,694","85,557",75,"1,231","1,660","2,966","1,905","655,613","29,716","687,234"
21-May,Ulsan,계,703,"481,073","7,948","489,724",460,"11,861","1,919","14,240",642,"60,915","9,486","71,043",44,894,"2,182","3,120","1,849","554,743","21,535","578,127"
21-May,Sejong,계,319,"156,636",714,"157,669",183,"3,683",462,"4,328",247,"14,780","1,652","16,679",48,349,168,565,797,"175,448","2,996","179,241"
21-May,Gyeonggi,계,"7,275","4,969,061","70,594","5,046,930","4,257","164,736","32,022","201,015","5,581","691,855","119,116","816,552",556,"10,972","11,453","22,981","17,669","5,836,624","233,185","6,087,478"
21-May,Gangwon,계,"1,824","610,842","11,647","624,313","1,566","23,423","3,094","28,083","2,480","148,475","8,651","159,606",185,"1,923","1,773","3,881","6,055","784,663","25,165","815,883"
21-May,Chungbuk,계,"1,355","667,241","15,709","684,305","1,032","24,157","3,738","28,927","1,553","141,876","14,636","158,065",119,"1,975","2,767","4,861","4,059","835,249","36,850","876,158"
21-May,Chungnam,계,"1,929","875,064","13,382","890,375","1,234","34,068","5,356","40,658","2,372","202,816","18,045","223,233",273,"2,566","3,034","5,873","5,808","1,114,514","39,817","1,160,139"
21-May,Jeonbuk,계,"1,760","710,199","16,970","728,929","1,324","26,531","4,112","31,967","2,071","169,418","15,450","186,939",166,"2,028","2,246","4,440","5,321","908,176","38,778","952,275"
21-May,Jeonnam,계,"2,155","697,362","141,364","840,881","1,590","29,382","7,720","38,692","2,459","222,808","20,368","245,635",182,"2,771","4,929","7,882","6,386","952,323","174,381","1,133,090"
21-May,Gyeongbuk,계,"2,576","1,095,432","13,860","1,111,868","1,770","40,223","5,343","47,336","2,955","291,499","24,306","318,760",254,"3,231","5,080","8,565","7,555","1,430,385","48,589","1,486,529"
21-May,Gyeongnam,계,"2,453","1,368,435","83,626","1,454,514","1,915","43,285","7,345","52,545","2,604","264,223","25,214","292,041",200,"3,282","5,509","8,991","7,172","1,679,225","121,694","1,808,091"
21-May,Jeju,계,828,"297,339","233,954","532,121",488,"10,994","6,942","18,424","1,032","76,635","3,689","81,356",80,781,640,"1,501","2,428","385,749","245,225","633,402"
21-Jun,Seoul,계,"4,507","2,594,368","123,587","2,722,462","3,716","84,243","15,219","103,178","3,917","265,434","58,537","327,888",373,"4,053","5,031","9,457","12,513","2,948,098","202,374","3,162,985"
21-Jun,Busan,계,"1,668","1,117,570","90,620","1,209,858","1,281","33,551","5,999","40,831","1,595","150,416","34,013","186,024",139,"2,184","8,904","11,227","4,683","1,303,721","139,536","1,447,940"
21-Jun,Daegu,계,988,"1,000,782","25,913","1,027,683",913,"24,699","3,920","29,532","1,378","135,814","19,363","156,555",121,"1,739","2,134","3,994","3,400","1,163,034","51,330","1,217,764"
21-Jun,Incheon,계,"1,556","1,137,611","288,589","1,427,756","1,071","35,826","10,394","47,291","1,338","160,668","32,095","194,101",119,"2,514","5,353","7,986","4,084","1,336,619","336,431","1,677,134"
21-Jun,Gwangju,계,822,"565,036","14,350","580,208",603,"16,348","2,360","19,311",717,"77,352","13,606","91,675",81,"1,228","1,836","3,145","2,223","659,964","32,152","694,339"
21-Jun,Daejeon,계,643,"564,345","14,353","579,341",537,"16,811","2,144","19,492",627,"72,862","11,742","85,231",74,"1,282","1,658","3,014","1,881","655,300","29,897","687,078"
21-Jun,Ulsan,계,706,"481,494","7,951","490,151",458,"11,801","1,923","14,182",639,"60,663","9,508","70,810",44,888,"2,181","3,113","1,847","554,846","21,563","578,256"
21-Jun,Sejong,계,321,"157,244",734,"158,299",182,"3,679",459,"4,320",247,"14,746","1,653","16,646",48,367,169,584,798,"176,036","3,015","179,849"
21-Jun,Gyeonggi,계,"7,340","4,986,826","71,257","5,065,423","4,266","164,020","32,061","200,347","5,619","693,219","119,568","818,406",556,"11,180","11,487","23,223","17,781","5,855,245","234,373","6,107,399"
21-Jun,Gangwon,계,"1,829","612,524","11,737","626,090","1,563","23,373","3,081","28,017","2,495","148,671","8,673","159,839",186,"1,973","1,778","3,937","6,073","786,541","25,269","817,883"
21-Jun,Chungbuk,계,"1,349","669,135","15,938","686,422","1,024","24,129","3,733","28,886","1,559","142,038","14,665","158,262",120,"2,038","2,782","4,940","4,052","837,340","37,118","878,510"
21-Jun,Chungnam,계,"1,932","877,432","13,411","892,775","1,230","33,955","5,343","40,528","2,359","202,660","18,126","223,145",277,"2,644","3,045","5,966","5,798","1,116,691","39,925","1,162,414"
21-Jun,Jeonbuk,계,"1,773","711,484","17,058","730,315","1,303","26,422","4,122","31,847","2,068","169,446","15,529","187,043",166,"2,068","2,258","4,492","5,310","909,420","38,967","953,697"
21-Jun,Jeonnam,계,"2,166","698,651","145,575","846,392","1,595","29,319","7,830","38,744","2,482","222,948","20,379","245,809",182,"2,819","4,931","7,932","6,425","953,737","178,715","1,138,877"
21-Jun,Gyeongbuk,계,"2,590","1,097,174","13,864","1,113,628","1,784","40,074","5,346","47,204","2,978","290,919","24,330","318,227",257,"3,298","5,091","8,646","7,609","1,431,465","48,631","1,487,705"
21-Jun,Gyeongnam,계,"2,474","1,371,953","83,982","1,458,409","1,907","43,102","7,319","52,328","2,618","264,565","25,277","292,460",205,"3,352","5,521","9,078","7,204","1,682,972","122,099","1,812,275"
21-Jun,Jeju,계,830,"298,929","237,028","536,787",487,"10,981","6,938","18,406","1,023","76,662","3,708","81,393",80,832,648,"1,560","2,420","387,404","248,322","638,146"
21-Jul,Seoul,계,"4,540","2,603,951","123,239","2,731,730","3,724","83,717","15,246","102,687","3,915","265,279","58,587","327,781",372,"4,142","5,055","9,569","12,551","2,957,089","202,127","3,171,767"
21-Jul,Busan,계,"1,694","1,119,651","92,003","1,213,348","1,267","33,315","6,013","40,595","1,600","150,379","34,083","186,062",139,"2,245","8,891","11,275","4,700","1,305,590","140,990","1,451,280"
21-Jul,Daegu,계,986,"992,899","25,956","1,019,841",908,"24,664","3,938","29,510","1,385","136,133","19,392","156,910",121,"1,801","2,131","4,053","3,400","1,155,497","51,417","1,210,314"
21-Jul,Incheon,계,"1,575","1,138,010","287,702","1,427,287","1,114","35,663","10,343","47,120","1,338","160,638","32,217","194,193",119,"2,568","5,370","8,057","4,146","1,336,879","335,632","1,676,657"
21-Jul,Gwangju,계,835,"565,910","14,296","581,041",599,"16,177","2,351","19,127",727,"77,523","13,652","91,902",82,"1,265","1,846","3,193","2,243","660,875","32,145","695,263"
21-Jul,Daejeon,계,647,"565,495","14,437","580,579",536,"16,765","2,147","19,448",619,"73,237","11,810","85,666",71,"1,322","1,652","3,045","1,873","656,819","30,046","688,738"
21-Jul,Ulsan,계,706,"482,028","7,959","490,693",461,"11,784","1,922","14,167",637,"60,773","9,528","70,938",44,922,"2,169","3,135","1,848","555,507","21,578","578,933"
21-Jul,Sejong,계,323,"158,035",749,"159,107",186,"3,638",470,"4,294",246,"14,777","1,657","16,680",48,393,170,611,803,"176,843","3,046","180,692"
21-Jul,Gyeonggi,계,"7,366","5,004,417","71,331","5,083,114","4,274","163,569","31,987","199,830","5,637","694,727","120,158","820,522",557,"11,467","11,549","23,573","17,834","5,874,180","235,025","6,127,039"
21-Jul,Gangwon,계,"1,830","614,339","11,769","627,938","1,566","23,283","3,078","27,927","2,504","148,914","8,693","160,111",187,"2,019","1,778","3,984","6,087","788,555","25,318","819,960"
21-Jul,Chungbuk,계,"1,359","675,366","15,914","692,639","1,029","24,102","3,729","28,860","1,563","142,431","14,691","158,685",122,"2,100","2,785","5,007","4,073","843,999","37,119","885,191"
21-Jul,Chungnam,계,"1,940","880,089","13,486","895,515","1,241","33,911","5,338","40,490","2,364","203,235","18,228","223,827",277,"2,712","3,066","6,055","5,822","1,119,947","40,118","1,165,887"
21-Jul,Jeonbuk,계,"1,771","712,993","16,826","731,590","1,307","26,417","4,114","31,838","2,067","169,894","15,603","187,564",166,"2,098","2,266","4,530","5,311","911,402","38,809","955,522"
21-Jul,Jeonnam,계,"2,169","700,381","148,574","851,124","1,596","29,250","7,829","38,675","2,500","223,185","20,394","246,079",183,"2,881","4,942","8,006","6,448","955,697","181,739","1,143,884"
21-Jul,Gyeongbuk,계,"2,605","1,099,345","13,857","1,115,807","1,785","39,959","5,330","47,074","2,983","291,581","24,452","319,016",260,"3,378","5,102","8,740","7,633","1,434,263","48,741","1,490,637"
21-Jul,Gyeongnam,계,"2,476","1,377,422","84,603","1,464,501","1,911","42,959","7,304","52,174","2,623","264,812","25,332","292,767",206,"3,399","5,535","9,140","7,216","1,688,592","122,774","1,818,582"
21-Jul,Jeju,계,833,"300,557","239,895","541,285",487,"10,982","6,990","18,459","1,021","77,103","3,744","81,868",79,838,647,"1,564","2,420","389,480","251,276","643,176"
21-Aug,Seoul,계,"4,568","2,604,675","123,252","2,732,495","3,722","83,253","15,197","102,172","3,907","264,838","58,706","327,451",370,"4,200","5,061","9,631","12,567","2,956,966","202,216","3,171,749"
21-Aug,Busan,계,"1,690","1,121,550","93,000","1,216,240","1,271","33,182","6,004","40,457","1,590","150,450","34,126","186,166",138,"2,293","8,918","11,349","4,689","1,307,475","142,048","1,454,212"
21-Aug,Daegu,계,979,"993,638","26,021","1,020,638",905,"24,598","3,925","29,428","1,379","136,209","19,395","156,983",120,"1,848","2,131","4,099","3,383","1,156,293","51,472","1,211,148"
21-Aug,Incheon,계,"1,541","1,140,776","284,796","1,427,113","1,109","35,440","10,253","46,802","1,333","160,609","32,318","194,260",120,"2,626","5,380","8,126","4,103","1,339,451","332,747","1,676,301"
21-Aug,Gwangju,계,833,"567,010","14,270","582,113",599,"16,069","2,347","19,015",721,"77,507","13,651","91,879",82,"1,295","1,842","3,219","2,235","661,881","32,110","696,226"
21-Aug,Daejeon,계,649,"566,159","14,611","581,419",536,"16,745","2,146","19,427",618,"73,366","11,804","85,788",71,"1,352","1,664","3,087","1,874","657,622","30,225","689,721"
21-Aug,Ulsan,계,705,"482,160","7,927","490,792",463,"11,728","1,921","14,112",639,"60,785","9,543","70,967",44,931,"2,177","3,152","1,851","555,604","21,568","579,023"
21-Aug,Sejong,계,323,"158,469",788,"159,580",186,"3,640",468,"4,294",245,"14,754","1,661","16,660",50,414,169,633,804,"177,277","3,086","181,167"
21-Aug,Gyeonggi,계,"7,374","5,018,836","73,634","5,099,844","4,252","162,995","31,954","199,201","5,629","696,033","120,649","822,311",572,"11,728","11,591","23,891","17,827","5,889,592","237,828","6,145,247"
21-Aug,Gangwon,계,"1,828","615,396","11,831","629,055","1,563","23,193","3,070","27,826","2,502","148,934","8,716","160,152",186,"2,042","1,776","4,004","6,079","789,565","25,393","821,037"
21-Aug,Chungbuk,계,"1,355","676,521","16,091","693,967","1,035","24,027","3,736","28,798","1,560","142,719","14,765","159,044",124,"2,119","2,787","5,030","4,074","845,386","37,379","886,839"
21-Aug,Chungnam,계,"1,944","881,519","13,423","896,886","1,237","33,741","5,342","40,320","2,366","203,323","18,346","224,035",278,"2,727","3,091","6,096","5,825","1,121,310","40,202","1,167,337"
21-Aug,Jeonbuk,계,"1,769","713,936","16,657","732,362","1,310","26,342","4,106","31,758","2,070","170,029","15,637","187,736",164,"2,126","2,281","4,571","5,313","912,433","38,681","956,427"
21-Aug,Jeonnam,계,"2,173","701,354","150,256","853,783","1,596","29,226","7,804","38,626","2,503","223,494","20,440","246,437",183,"2,908","4,955","8,046","6,455","956,982","183,455","1,146,892"
21-Aug,Gyeongbuk,계,"2,605","1,100,485","13,891","1,116,981","1,784","39,825","5,325","46,934","2,981","291,707","24,455","319,143",261,"3,451","5,103","8,815","7,631","1,435,468","48,774","1,491,873"
21-Aug,Gyeongnam,계,"2,476","1,378,876","84,820","1,466,172","1,910","42,767","7,285","51,962","2,603","264,636","25,394","292,633",208,"3,441","5,551","9,200","7,197","1,689,720","123,050","1,819,967"
21-Aug,Jeju,계,832,"301,493","241,477","543,802",488,"10,982","6,964","18,434","1,020","77,318","3,750","82,088",77,922,644,"1,643","2,417","390,715","252,835","645,967"
21-Sep,Seoul,계,"4,546","2,608,232","123,890","2,736,668","3,724","82,817","15,179","101,720","3,915","264,344","58,799","327,058",371,"4,237","5,088","9,696","12,556","2,959,630","202,956","3,175,142"
21-Sep,Busan,계,"1,653","1,120,999","94,047","1,216,699","1,264","33,066","6,002","40,332","1,586","150,473","34,127","186,186",138,"2,328","8,924","11,390","4,641","1,306,866","143,100","1,454,607"
21-Sep,Daegu,계,975,"993,599","26,094","1,020,668",914,"24,373","3,916","29,203","1,367","135,679","19,448","156,494",120,"1,885","2,138","4,143","3,376","1,155,536","51,596","1,210,508"
21-Sep,Incheon,계,"1,534","1,143,050","276,586","1,421,170","1,090","35,275","9,874","46,239","1,334","160,590","32,424","194,348",121,"2,663","5,376","8,160","4,079","1,341,578","324,260","1,669,917"
21-Sep,Gwangju,계,821,"568,098","14,391","583,310",609,"16,047","2,340","18,996",723,"77,730","13,658","92,111",82,"1,320","1,834","3,236","2,235","663,195","32,223","697,653"
21-Sep,Daejeon,계,648,"567,022","14,671","582,341",546,"16,673","2,143","19,362",615,"73,398","11,845","85,858",68,"1,378","1,671","3,117","1,877","658,471","30,330","690,678"
21-Sep,Ulsan,계,702,"482,450","7,933","491,085",466,"11,683","1,918","14,067",641,"60,839","9,565","71,045",44,947,"2,184","3,175","1,853","555,919","21,600","579,372"
21-Sep,Sejong,계,321,"159,108",805,"160,234",186,"3,604",470,"4,260",244,"14,754","1,660","16,658",50,426,167,643,801,"177,892","3,102","181,795"
21-Sep,Gyeonggi,계,"7,362","5,032,431","73,323","5,113,116","4,247","162,515","31,935","198,697","5,642","696,950","121,083","823,675",574,"11,972","11,637","24,183","17,825","5,903,868","237,978","6,159,671"
21-Sep,Gangwon,계,"1,829","616,931","11,865","630,625","1,570","23,102","3,066","27,738","2,506","149,047","8,726","160,279",186,"2,083","1,790","4,059","6,091","791,163","25,447","822,701"
21-Sep,Chungbuk,계,"1,355","677,680","16,092","695,127","1,038","24,062","3,736","28,836","1,571","142,894","14,812","159,277",125,"2,163","2,787","5,075","4,089","846,799","37,427","888,315"
21-Sep,Chungnam,계,"1,955","883,144","13,428","898,527","1,239","33,673","5,333","40,245","2,379","203,670","18,410","224,459",280,"2,774","3,081","6,135","5,853","1,123,261","40,252","1,169,366"
21-Sep,Jeonbuk,계,"1,768","714,559","16,486","732,813","1,305","26,280","4,077","31,662","2,066","170,109","15,654","187,829",164,"2,155","2,287","4,606","5,303","913,103","38,504","956,910"
21-Sep,Jeonnam,계,"2,173","702,266","159,100","863,539","1,612","29,129","7,982","38,723","2,496","223,718","20,499","246,713",183,"2,963","4,976","8,122","6,464","958,076","192,557","1,157,097"
21-Sep,Gyeongbuk,계,"2,608","1,101,703","13,854","1,118,165","1,782","39,708","5,315","46,805","2,978","291,975","24,482","319,435",262,"3,523","5,106","8,891","7,630","1,436,909","48,757","1,493,296"
21-Sep,Gyeongnam,계,"2,471","1,380,799","85,234","1,468,504","1,907","42,585","7,270","51,762","2,600","264,565","25,459","292,624",209,"3,489","5,566","9,264","7,187","1,691,438","123,529","1,822,154"
21-Sep,Jeju,계,833,"302,320","243,243","546,396",489,"10,971","6,929","18,389","1,024","77,607","3,758","82,389",77,926,645,"1,648","2,423","391,824","254,575","648,822"
21-Oct,Seoul,계,"4,564","2,608,313","123,669","2,736,546","3,696","82,395","15,223","101,314","3,911","263,757","58,708","326,376",375,"4,251","5,099","9,725","12,546","2,958,716","202,699","3,173,961"
21-Oct,Busan,계,"1,655","1,122,705","94,936","1,219,296","1,265","32,940","6,003","40,208","1,585","150,248","34,235","186,068",144,"2,320","8,948","11,412","4,649","1,308,213","144,122","1,456,984"
21-Oct,Daegu,계,974,"994,088","25,908","1,020,970",913,"24,175","3,913","29,001","1,360","134,969","19,454","155,783",120,"1,920","2,142","4,182","3,367","1,155,152","51,417","1,209,936"
21-Oct,Incheon,계,"1,543","1,145,170","274,269","1,420,982","1,090","35,128","9,698","45,916","1,332","160,492","32,507","194,331",121,"2,690","5,404","8,215","4,086","1,343,480","321,878","1,669,444"
21-Oct,Gwangju,계,827,"569,005","14,285","584,117",597,"15,997","2,344","18,938",724,"77,677","13,699","92,100",82,"1,352","1,844","3,278","2,230","664,031","32,172","698,433"
21-Oct,Daejeon,계,650,"567,686","14,703","583,039",546,"16,528","2,142","19,216",609,"73,223","11,845","85,677",68,"1,403","1,678","3,149","1,873","658,840","30,368","691,081"
21-Oct,Ulsan,계,703,"482,966","7,920","491,589",470,"11,654","1,916","14,040",640,"60,772","9,577","70,989",44,970,"2,193","3,207","1,857","556,362","21,606","579,825"
21-Oct,Sejong,계,322,"160,133",812,"161,267",208,"3,647",472,"4,327",244,"14,739","1,676","16,659",50,447,169,666,824,"178,966","3,129","182,919"
21-Oct,Gyeonggi,계,"7,406","5,045,617","72,678","5,125,701","4,252","161,917","31,777","197,946","5,629","696,721","121,586","823,936",571,"12,225","11,643","24,439","17,858","5,916,480","237,684","6,172,022"
21-Oct,Gangwon,계,"1,827","618,871","11,796","632,494","1,572","23,035","3,062","27,669","2,511","149,061","8,742","160,314",189,"2,131","1,804","4,124","6,099","793,098","25,404","824,601"
21-Oct,Chungbuk,계,"1,355","678,782","16,216","696,353","1,038","23,950","3,730","28,718","1,569","142,887","14,900","159,356",127,"2,195","2,788","5,110","4,089","847,814","37,634","889,537"
21-Oct,Chungnam,계,"1,958","885,345","13,381","900,684","1,236","33,577","5,327","40,140","2,373","203,689","18,464","224,526",280,"2,874","3,089","6,243","5,847","1,125,485","40,261","1,171,593"
21-Oct,Jeonbuk,계,"1,780","715,566","16,370","733,716","1,313","26,208","4,069","31,590","2,066","170,170","15,666","187,902",162,"2,179","2,301","4,642","5,321","914,123","38,406","957,850"
21-Oct,Jeonnam,계,"2,182","703,555","161,432","867,169","1,609","29,084","7,964","38,657","2,490","223,791","20,536","246,817",185,"2,994","4,987","8,166","6,466","959,424","194,919","1,160,809"
21-Oct,Gyeongbuk,계,"2,608","1,103,490","13,787","1,119,885","1,779","39,598","5,310","46,687","2,969","291,931","24,530","319,430",264,"3,578","5,121","8,963","7,620","1,438,597","48,748","1,494,965"
21-Oct,Gyeongnam,계,"2,486","1,383,605","85,498","1,471,589","1,899","42,430","7,274","51,603","2,597","264,423","25,541","292,561",207,"3,525","5,579","9,311","7,189","1,693,983","123,892","1,825,064"
21-Oct,Jeju,계,831,"303,532","244,730","549,093",487,"10,933","6,928","18,348","1,022","77,722","3,764","82,508",76,939,649,"1,664","2,416","393,126","256,071","651,613"
21-Nov,Seoul,계,"4,621","2,610,063","125,295","2,739,979","3,709","82,024","15,152","100,885","3,924","263,821","58,831","326,576",374,"4,318","5,104","9,796","12,628","2,960,226","204,382","3,177,236"
21-Nov,Busan,계,"1,684","1,124,594","96,528","1,222,806","1,268","32,802","6,002","40,072","1,593","150,283","34,332","186,208",144,"2,341","8,932","11,417","4,689","1,310,020","145,794","1,460,503"
21-Nov,Daegu,계,981,"994,965","25,476","1,021,422",915,"24,093","3,926","28,934","1,361","134,860","19,514","155,735",123,"1,966","2,118","4,207","3,380","1,155,884","51,034","1,210,298"
21-Nov,Incheon,계,"1,572","1,148,149","274,063","1,423,784","1,096","34,959","9,597","45,652","1,343","160,488","32,716","194,547",122,"2,698","5,417","8,237","4,133","1,346,294","321,793","1,672,220"
21-Nov,Gwangju,계,831,"570,112","14,234","585,177",597,"15,935","2,352","18,884",732,"77,755","13,774","92,261",82,"1,370","1,853","3,305","2,242","665,172","32,213","699,627"
21-Nov,Daejeon,계,655,"568,726","14,689","584,070",548,"16,434","2,138","19,120",616,"73,168","11,883","85,667",68,"1,444","1,676","3,188","1,887","659,772","30,386","692,045"
21-Nov,Ulsan,계,713,"483,964","7,842","492,519",473,"11,631","1,913","14,017",643,"60,804","9,598","71,045",44,985,"2,212","3,241","1,873","557,384","21,565","580,822"
21-Nov,Sejong,계,328,"160,860",840,"162,028",212,"3,643",468,"4,323",246,"14,715","1,683","16,644",50,459,169,678,836,"179,677","3,160","183,673"
21-Nov,Gyeonggi,계,"7,484","5,060,732","72,517","5,140,733","4,244","161,322","31,726","197,292","5,623","697,363","122,235","825,221",571,"12,427","11,681","24,679","17,922","5,931,844","238,159","6,187,925"
21-Nov,Gangwon,계,"1,867","620,564","11,768","634,199","1,578","22,917","3,060","27,555","2,535","149,300","8,786","160,621",190,"2,182","1,805","4,177","6,170","794,963","25,419","826,552"
21-Nov,Chungbuk,계,"1,372","680,340","16,094","697,806","1,040","23,846","3,730","28,616","1,569","142,786","14,953","159,308",128,"2,237","2,787","5,152","4,109","849,209","37,564","890,882"
21-Nov,Chungnam,계,"1,973","887,595","13,409","902,977","1,259","33,505","5,333","40,097","2,378","203,923","18,530","224,831",282,"2,942","3,105","6,329","5,892","1,127,965","40,377","1,174,234"
21-Nov,Jeonbuk,계,"1,824","716,926","16,265","735,015","1,315","26,162","4,063","31,540","2,065","170,525","15,699","188,289",162,"2,244","2,309","4,715","5,366","915,857","38,336","959,559"
21-Nov,Jeonnam,계,"2,226","705,206","163,097","870,529","1,652","28,971","8,053","38,676","2,519","223,808","20,551","246,878",188,"3,026","4,998","8,212","6,585","961,011","196,699","1,164,295"
21-Nov,Gyeongbuk,계,"2,649","1,105,855","13,771","1,122,275","1,775","39,533","5,305","46,613","2,967","292,056","24,531","319,554",263,"3,619","5,155","9,037","7,654","1,441,063","48,762","1,497,479"
21-Nov,Gyeongnam,계,"2,508","1,386,804","85,820","1,475,132","1,898","42,261","7,273","51,432","2,605","264,489","25,628","292,722",208,"3,570","5,594","9,372","7,219","1,697,124","124,315","1,828,658"
21-Nov,Jeju,계,842,"304,918","246,791","552,551",487,"10,949","6,918","18,354","1,021","78,056","3,763","82,840",76,"1,001",647,"1,724","2,426","394,924","258,119","655,469"
21-Dec,Seoul,계,"4,646","2,609,340","126,058","2,740,044","3,743","81,584","15,076","100,403","3,961","263,488","58,976","326,425",397,"4,387","5,087","9,871","12,747","2,958,799","205,197","3,176,743"
21-Dec,Busan,계,"1,769","1,126,920","98,294","1,226,983","1,313","32,641","6,000","39,954","1,583","150,183","34,436","186,202",145,"2,392","8,932","11,469","4,810","1,312,136","147,662","1,464,608"
21-Dec,Daegu,계,989,"995,814","25,478","1,022,281",950,"24,000","3,878","28,828","1,369","134,764","19,585","155,718",126,"2,019","2,123","4,268","3,434","1,156,597","51,064","1,211,095"
21-Dec,Incheon,계,"1,625","1,153,744","271,912","1,427,281","1,105","34,820","9,367","45,292","1,338","160,398","32,790","194,526",126,"2,753","5,427","8,306","4,194","1,351,715","319,496","1,675,405"
21-Dec,Gwangju,계,857,"571,183","14,256","586,296",597,"15,892","2,355","18,844",772,"77,799","13,757","92,328",83,"1,382","1,850","3,315","2,309","666,256","32,218","700,783"
21-Dec,Daejeon,계,667,"569,274","14,732","584,673",567,"16,437","2,127","19,131",611,"73,153","11,920","85,684",67,"1,465","1,682","3,214","1,912","660,329","30,461","692,702"
21-Dec,Ulsan,계,720,"484,553","7,844","493,117",479,"11,584","1,920","13,983",635,"60,816","9,610","71,061",45,"1,002","2,221","3,268","1,879","557,955","21,595","581,429"
21-Dec,Sejong,계,335,"162,159",856,"163,350",218,"3,643",471,"4,332",246,"14,737","1,683","16,666",49,474,171,694,848,"181,013","3,181","185,042"
