월(Monthly),시도명,시군구,승용_관용,승용_자가용,승용_영업용,승용_합계,승합_관용,승합_자가용,승합_업무용,승합_합계,화물_관용,화물_자가용,화물_영업용,화물_합계,특수_관용,특수_자가용,특수영업용,특수_합계,총계_관용,총계_자가용,총계_영업용,총계_합계
25-Feb,Jeju,계,855,"331,877","266,815","599,547",495,"9,812","6,283","16,590","1,036","86,048","4,350","91,434",83,"1,379",701,"2,163","2,469","429,116","278,149","709,734"
25-Feb,Gangwon,계,"2,046","666,237","12,149","680,432","1,698","19,603","2,972","24,273","2,728","153,745","9,332","165,805",281,"3,285","2,016","5,582","6,753","842,870","26,469","876,092"
25-Feb,Jeonbuk,계,"1,993","761,140","12,734","775,867","1,392","22,907","3,898","28,197","2,299","176,036","16,539","194,874",210,"3,285","2,584","6,079","5,894","963,368","35,755","1,005,017"
25-Mar,Seoul,계,"4,770","2,657,700","112,291","2,774,761","3,709","65,924","14,560","84,193","3,907","239,235","59,519","302,661",430,"6,068","5,164","11,662","12,816","2,968,927","191,534","3,173,277"
25-Mar,Busan,계,"1,923","1,191,040","145,398","1,338,361","1,282","27,378","6,322","34,982","1,614","145,236","36,265","183,115",155,"3,292","9,056","12,503","4,974","1,366,946","197,041","1,568,961"
25-Mar,Daegu,계,"1,122","1,037,469","30,945","1,069,536","1,022","21,153","3,912","26,087","1,464","137,690","20,812","159,966",160,"3,015","2,236","5,411","3,768","1,199,327","57,905","1,261,000"
25-Mar,Incheon,계,"1,741","1,277,698","222,494","1,501,933","1,182","29,456","7,355","37,993","1,361","163,982","35,481","200,824",148,"4,224","5,409","9,781","4,432","1,475,360","270,739","1,750,531"
25-Mar,Gwangju,계,959,"602,373","13,757","617,089",614,"13,473","2,285","16,372",840,"76,934","14,750","92,524",95,"2,131","1,954","4,180","2,508","694,911","32,746","730,165"
25-Mar,Daejeon,계,692,"599,658","32,402","632,752",557,"13,441","2,247","16,245",917,"72,046","12,482","85,445",82,"2,152","1,724","3,958","2,248","687,297","48,855","738,400"
25-Mar,Ulsan,계,771,"510,316","7,448","518,535",519,"10,028","1,971","12,518",662,"62,529","10,426","73,617",55,"1,477","2,299","3,831","2,007","584,350","22,144","608,501"
25-Mar,Sejong,계,362,"179,552","1,226","181,140",248,"3,136",633,"4,017",264,"15,037","2,016","17,317",84,646,165,895,958,"198,371","4,040","203,369"
25-Mar,Gyeonggi,계,"8,367","5,509,899","80,911","5,599,177","4,233","136,068","32,406","172,707","5,771","714,567","137,813","858,151",634,"18,823","12,375","31,832","19,005","6,379,357","263,505","6,661,867"
25-Mar,Chungbuk,계,"1,503","735,749","15,886","753,138","1,130","20,952","3,803","25,885","1,659","148,404","16,252","166,315",166,"3,574","2,945","6,685","4,458","908,679","38,886","952,023"
25-Mar,Chungnam,계,"2,153","981,819","13,517","997,489","1,298","29,615","5,204","36,117","2,516","214,791","19,869","237,176",334,"4,513","3,320","8,167","6,301","1,230,738","41,910","1,278,949"
