"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20250301","3호선","경찰병원","4145","4030","20250304",""
"20250301","3호선","오금","3719","3526","20250304",""
"20250301","4호선","당고개","7770","7194","20250304",""
"20250301","4호선","상계","15493","13862","20250304",""
"20250301","4호선","노원","17823","20201","20250304",""
"20250301","4호선","창동","22120","23059","20250304",""
"20250301","4호선","쌍문","22726","20313","20250304",""
"20250301","4호선","수유(강북구청)","27908","27430","20250304",""
"20250301","4호선","미아(서울사이버대학)","11665","10674","20250304",""
"20250301","4호선","미아사거리","21429","21276","20250304",""
"20250301","4호선","길음","15743","15141","20250304",""
"20250301","4호선","성신여대입구(돈암)","19071","18545","20250304",""
"20250301","4호선","한성대입구(삼선교)","11202","10975","20250304",""
"20250301","4호선","혜화","38192","42404","20250304",""
"20250301","4호선","동대문","17844","18126","20250304",""
"20250301","4호선","동대문역사문화공원(DDP)","19545","16199","20250304",""
"20250301","4호선","충무로","19198","20168","20250304",""
"20250301","4호선","명동","39052","41211","20250304",""
"20250301","4호선","회현(남대문시장)","31420","30900","20250304",""
"20250301","4호선","서울역","8515","22515","20250304",""
"20250301","4호선","숙대입구(갈월)","11336","10722","20250304",""
"20250301","4호선","삼각지","6424","8509","20250304",""
"20250301","4호선","신용산","17314","19796","20250304",""
"20250301","4호선","이촌(국립중앙박물관)","12941","13167","20250304",""
"20250301","4호선","동작(현충원)","1499","1720","20250304",""
"20250301","4호선","총신대입구(이수)","15299","16496","20250304",""
"20250301","4호선","사당","23163","22233","20250304",""
"20250301","4호선","남태령","1247","713","20250304",""
"20250301","5호선","방화","5194","4803","20250304",""
"20250301","5호선","개화산","4414","4103","20250304",""
"20250301","5호선","김포공항","12254","7864","20250304",""
"20250301","5호선","송정","5117","5034","20250304",""
"20250301","5호선","마곡","7902","7998","20250304",""
"20250301","5호선","발산","15649","16783","20250304",""
"20250301","5호선","우장산","10413","10149","20250304",""
"20250301","5호선","화곡","21254","19126","20250304",""
"20250301","5호선","까치산","21247","19531","20250304",""
"20250301","5호선","신정(은행정)","9463","8032","20250304",""
"20250301","5호선","목동","11614","11490","20250304",""
"20250301","5호선","오목교(목동운동장앞)","16513","16981","20250304",""
"20250301","5호선","양평","4303","3917","20250304",""
"20250301","5호선","영등포구청","2925","2692","20250304",""
"20250301","5호선","영등포시장","10113","9960","20250304",""
"20250301","5호선","신길","3980","3820","20250304",""
"20250301","5호선","여의도","25931","29884","20250304",""
"20250301","5호선","여의나루","15757","17858","20250304",""
"20250301","5호선","마포","9115","8996","20250304",""
"20250301","5호선","공덕","9305","9619","20250304",""
"20250301","5호선","애오개","4121","3825","20250304",""
"20250301","5호선","충정로(경기대입구)","2597","2118","20250304",""
"20250301","5호선","서대문","13376","9959","20250304",""
"20250301","5호선","광화문(세종문화회관)","55603","64027","20250304",""
"20250301","5호선","종로3가","21955","22442","20250304",""
"20250301","5호선","을지로4가","4833","4878","20250304",""
"20250301","5호선","동대문역사문화공원(DDP)","1696","2068","20250304",""
"20250301","5호선","청구","2621","2653","20250304",""
"20250301","5호선","신금호","4313","4514","20250304",""
"20250301","5호선","행당","5582","4782","20250304",""
"20250301","5호선","왕십리(성동구청)","3544","4850","20250304",""
"20250301","5호선","마장","4392","4074","20250304",""
"20250301","5호선","답십리","11467","10017","20250304",""
"20250301","5호선","장한평","13339","12773","20250304",""
"20250301","5호선","군자(능동)","9761","10780","20250304",""
"20250301","5호선","아차산(어린이대공원후문)","13372","12365","20250304",""
"20250301","5호선","광나루(장신대)","8588","8227","20250304",""
"20250301","5호선","천호(풍납토성)","19206","18164","20250304",""
"20250301","5호선","강동","13728","13068","20250304",""
"20250301","5호선","길동","6743","6866","20250304",""
"20250301","5호선","굽은다리(강동구민회관앞)","8472","7997","20250304",""
"20250301","5호선","명일","6379","5990","20250304",""
"20250301","5호선","고덕","6741","6390","20250304",""
"20250301","5호선","상일동","9846","9359","20250304",""
"20250301","5호선","둔촌동","8837","8716","20250304",""
"20250301","5호선","올림픽공원(한국체대)","6767","7160","20250304",""
"20250301","5호선","방이","5594","5400","20250304",""
"20250301","5호선","오금","2312","2057","20250304",""
"20250301","5호선","개롱","4471","4526","20250304",""
"20250301","5호선","거여","6992","6440","20250304",""
"20250301","5호선","마천","5043","4882","20250304",""
"20250301","5호선","강일","4624","3864","20250304",""
"20250301","5호선","미사","14492","14800","20250304",""
"20250301","5호선","하남풍산","3375","3326","20250304",""
"20250301","5호선","하남시청(덕풍·신장)","7328","6642","20250304",""
"20250301","5호선","하남검단산","6576","6319","20250304",""
"20250301","6호선","응암","13367","12948","20250304",""
"20250301","6호선","역촌","2857","3245","20250304",""
"20250301","6호선","불광","4234","3517","20250304",""
"20250301","6호선","독바위","2150","2211","20250304",""
"20250301","6호선","연신내","2","0","20250304",""
"20250301","6호선","구산","6210","4478","20250304",""
"20250301","6호선","새절(신사)","8828","8292","20250304",""
"20250301","6호선","증산(명지대앞)","7536","7351","20250304",""
"20250301","6호선","디지털미디어시티","8439","8569","20250304",""
"20250301","6호선","월드컵경기장(성산)","5650","5611","20250304",""
"20250301","6호선","마포구청","9651","8611","20250304",""
"20250301","6호선","망원","15535","17107","20250304",""
"20250301","6호선","합정","13104","12833","20250304",""
"20250301","6호선","상수","10440","11928","20250304",""
"20250301","6호선","광흥창(서강)","5443","4985","20250304",""
"20250301","6호선","대흥(서강대앞)","5688","5609","20250304",""
"20250301","6호선","공덕","11808","11212","20250304",""
"20250301","6호선","효창공원앞","5269","4743","20250304",""
"20250301","6호선","삼각지","8121","6727","20250304",""
"20250301","6호선","녹사평(용산구청)","5526","6044","20250304",""
"20250301","6호선","이태원","13993","17782","20250304",""
"20250301","6호선","한강진","10957","13485","20250304",""
"20250301","6호선","버티고개","1572","1607","20250304",""
"20250301","6호선","약수","2668","2841","20250304",""
"20250301","6호선","청구","2817","2541","20250304",""
"20250301","6호선","신당","6580","6058","20250304",""
"20250301","6호선","동묘앞","10431","9882","20250304",""
"20250301","6호선","창신","2241","1823","20250304",""
"20250301","6호선","보문","5966","5416","20250304",""
"20250301","6호선","안암(고대병원앞)","7518","7145","20250304",""
"20250301","6호선","고려대(종암)","5714","5357","20250304",""
"20250301","6호선","월곡(동덕여대)","7953","7621","20250304",""
"20250301","6호선","상월곡(한국과학기술연구원)","4462","3880","20250304",""
"20250301","6호선","돌곶이","6998","6203","20250304",""
"20250301","6호선","석계","9030","9136","20250304",""
"20250301","6호선","태릉입구","4855","4929","20250304",""
"20250301","6호선","화랑대(서울여대입구)","7479","6079","20250304",""
"20250301","6호선","봉화산(서울의료원)","5653","5497","20250304",""
"20250301","6호선","신내","1","0","20250304",""
"20250301","7호선","장암","1924","1369","20250304",""
"20250301","7호선","도봉산","6216","8334","20250304",""
"20250301","7호선","수락산","10319","9650","20250304",""
"20250301","7호선","마들","9324","8496","20250304",""
"20250301","7호선","노원","14979","15569","20250304",""
"20250301","7호선","중계","9301","8100","20250304",""
"20250301","7호선","하계","12731","11729","20250304",""
"20250301","7호선","공릉(서울과학기술대)","9266","8983","20250304",""
"20250301","7호선","태릉입구","6349","5847","20250304",""
"20250301","7호선","먹골","7664","7327","20250304",""
"20250301","7호선","중화","7294","6770","20250304",""
"20250301","7호선","상봉","14139","13609","20250304",""
"20250301","7호선","면목","10384","9596","20250304",""
"20250301","7호선","사가정","12114","11658","20250304",""
"20250301","7호선","용마산(용마폭포공원)","4250","4363","20250304",""
"20250301","7호선","중곡","6945","6533","20250304",""
"20250301","7호선","군자(능동)","11276","8368","20250304",""
"20250301","7호선","어린이대공원(세종대)","10885","10527","20250304",""
"20250301","7호선","건대입구","11593","12065","20250304",""
"20250301","7호선","자양(뚝섬한강공원)","10136","10085","20250304",""
"20250301","7호선","청담","9056","9671","20250304",""
"20250301","7호선","강남구청","8422","9437","20250304",""
"20250301","7호선","학동","9104","9453","20250304",""
"20250301","7호선","논현","9147","9802","20250304",""
"20250301","7호선","반포","4816","4426","20250304",""
"20250301","7호선","고속터미널","17119","12555","20250304",""
"20250301","7호선","내방","8000","7776","20250304",""
"20250301","7호선","이수","12193","11445","20250304",""
